Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.36     0.00        6     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.36     0.00        6     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1l> > >::value, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1l> >, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      5.36     0.00        6     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1l> >, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::operator-<long, std::ratio<1l, 1l>, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&, std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      5.36     0.00        5     0.00     0.00  writeTimeStats(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, long double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      5.36     0.00        5     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char>, char>::_S_select_on_copy(std::allocator<char> const&)
  0.00      5.36     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<char> >::select_on_container_copy_construction(std::allocator<char> const&)
  0.00      5.36     0.00        5     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      5.36     0.00        5     0.00     0.00  int* std::vector<int, std::allocator<int> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(unsigned long, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      5.36     0.00        5     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      5.36     0.00        5     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      5.36     0.00        5     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      5.36     0.00        5     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      5.36     0.00        5     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      5.36     0.00        5     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.36     0.00        4     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1l> >, std::ratio<1l, 1l>, long, true, true>::__cast<long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      5.36     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      5.36     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocate(unsigned long, void const*)
  0.00      5.36     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::new_allocator()
  0.00      5.36     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::max_size() const
  0.00      5.36     0.00        3     0.00     0.00  std::initializer_list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::end() const
  0.00      5.36     0.00        3     0.00     0.00  std::initializer_list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::size() const
  0.00      5.36     0.00        3     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator()
  0.00      5.36     0.00        3     0.00     7.50  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      5.36     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_allocate(unsigned long)
  0.00      5.36     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::_Vector_impl(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.36     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.00      5.36     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      5.36     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      5.36     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_base(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.36     0.00        3     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.00      5.36     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::deallocate(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      5.36     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::allocate(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, unsigned long)
  0.00      5.36     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::max_size(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.36     0.00        3     0.00     7.50  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_copy<false>::__uninit_copy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      5.36     0.00        3     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_S_max_size(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.36     0.00        3     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_S_check_init_len(unsigned long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.36     0.00        3     0.00     7.50  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_range_initialize<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::forward_iterator_tag)
  0.00      5.36     0.00        3     0.00     7.50  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(std::initializer_list<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      5.36     0.00        3     0.00     7.50  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      5.36     0.00        3     0.00     0.00  std::iterator_traits<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>::difference_type std::__distance<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::random_access_iterator_tag)
  0.00      5.36     0.00        3     0.00     7.50  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::uninitialized_copy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      5.36     0.00        3     0.00     0.00  std::iterator_traits<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>::iterator_category std::__iterator_category<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  0.00      5.36     0.00        3     0.00     7.50  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_copy_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      5.36     0.00        3     0.00     7.50  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      5.36     0.00        3     0.00     7.50  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      5.36     0.00        3     0.00     0.00  std::iterator_traits<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>::difference_type std::distance<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*)
  0.00      5.36     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.36     0.00        1     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.19% of 5.36 seconds

index % time    self  children    called     name
                              767631             quickerSort(std::vector<int, std::allocator<int> >&, int, int) [1]
                0.00    0.05      24/1643        main::{lambda()#1}::operator()() const [12]
                0.13    3.69    1619/1643        void std::__invoke_impl<void, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::__invoke_other, void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&) [2]
[1]     72.4    0.14    3.74    1643+767631  quickerSort(std::vector<int, std::allocator<int> >&, int, int) [1]
                1.30    2.18  424857/424857      qpartition(std::vector<int, std::allocator<int> >&, int, int) [7]
                0.05    0.06  744874/744934      std::thread::~thread() [40]
                0.05    0.02  747708/747708      std::thread::thread() [42]
                0.04    0.03  843968/1657650     std::thread::joinable() const [39]
                0.01    0.01    1374/1374        std::thread::operator=(std::thread&&) [62]
                0.00    0.00     884/884         std::thread::thread<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [78]
                0.00    0.00     847/847         std::thread::thread<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [79]
                0.00    0.00    1279/1279        std::reference_wrapper<std::vector<int, std::allocator<int> > > std::ref<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [158]
                              767631             quickerSort(std::vector<int, std::allocator<int> >&, int, int) [1]
-----------------------------------------------
                0.00    3.82    1458/1458        std::__invoke_result<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::type std::__invoke<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&) [3]
[2]     71.3    0.00    3.82    1458         void std::__invoke_impl<void, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::__invoke_other, void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&) [2]
                0.13    3.69    1619/1643        quickerSort(std::vector<int, std::allocator<int> >&, int, int) [1]
                0.00    0.00    3061/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00    1655/1655        std::reference_wrapper<std::vector<int, std::allocator<int> > >::operator std::vector<int, std::allocator<int> >&() const [143]
                0.00    0.00    1567/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00    1524/4588        void (*&&std::forward<void (*)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (*)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [117]
-----------------------------------------------
                0.00    3.82    1427/1427        void std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_M_invoke<0ul, 1ul, 2ul, 3ul>(std::_Index_tuple<0ul, 1ul, 2ul, 3ul>) [4]
[3]     71.3    0.00    3.82    1427         std::__invoke_result<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::type std::__invoke<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&) [3]
                0.00    3.82    1458/1458        void std::__invoke_impl<void, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::__invoke_other, void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&) [2]
                0.00    0.00    3055/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00    1583/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00    1537/4588        void (*&&std::forward<void (*)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (*)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [117]
-----------------------------------------------
                0.00    3.82    1353/1353        std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::operator()() [5]
[4]     71.3    0.00    3.82    1353         void std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_M_invoke<0ul, 1ul, 2ul, 3ul>(std::_Index_tuple<0ul, 1ul, 2ul, 3ul>) [4]
                0.00    3.82    1427/1427        std::__invoke_result<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::type std::__invoke<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&) [3]
                0.00    0.00    6212/6212        std::remove_reference<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&>::type&& std::move<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&) [116]
                0.00    0.00    1768/1768        std::tuple_element<1ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<1ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&) [127]
                0.00    0.00    1669/1669        std::tuple_element<2ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<2ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&) [138]
                0.00    0.00    1585/1585        std::tuple_element<0ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&) [148]
                0.00    0.00    1518/1518        std::tuple_element<3ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<3ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&) [152]
-----------------------------------------------
                0.00    3.82    1082/1082        std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> > >::_M_run() [6]
[5]     71.3    0.00    3.82    1082         std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::operator()() [5]
                0.00    3.82    1353/1353        void std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_M_invoke<0ul, 1ul, 2ul, 3ul>(std::_Index_tuple<0ul, 1ul, 2ul, 3ul>) [4]
-----------------------------------------------
                                                 <spontaneous>
[6]     71.3    0.00    3.82                 std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> > >::_M_run() [6]
                0.00    3.82    1082/1082        std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::operator()() [5]
-----------------------------------------------
                1.30    2.18  424857/424857      quickerSort(std::vector<int, std::allocator<int> >&, int, int) [1]
[7]     65.1    1.30    2.18  424857         qpartition(std::vector<int, std::allocator<int> >&, int, int) [7]
                1.22    0.00 63697164/63697164     std::vector<int, std::allocator<int> >::operator[](unsigned long) [8]
                0.55    0.42 18292004/19171049     std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [9]
-----------------------------------------------
                1.22    0.00 63697164/63697164     qpartition(std::vector<int, std::allocator<int> >&, int, int) [7]
[8]     22.7    1.22    0.00 63697164         std::vector<int, std::allocator<int> >::operator[](unsigned long) [8]
-----------------------------------------------
                0.03    0.02  879045/19171049     void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) [44]
                0.55    0.42 18292004/19171049     qpartition(std::vector<int, std::allocator<int> >&, int, int) [7]
[9]     18.9    0.57    0.44 19171049         std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [9]
                0.44    0.00 55928869/75026201     std::remove_reference<int&>::type&& std::move<int&>(int&) [20]
-----------------------------------------------
                0.00    0.92      26/26          std::thread::_Invoker<std::tuple<main::{lambda()#1}> >::operator()() [11]
[10]    17.2    0.00    0.92      26         void std::thread::_Invoker<std::tuple<main::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>) [10]
                0.00    0.92      21/21          std::__invoke_result<main::{lambda()#1}>::type std::__invoke<main::{lambda()#1}>(main::{lambda()#1}&&) [13]
                0.00    0.00      27/27          std::remove_reference<std::tuple<main::{lambda()#1}>&>::type&& std::move<std::tuple<main::{lambda()#1}>&>(std::tuple<main::{lambda()#1}>&) [280]
                0.00    0.00      25/25          std::tuple_element<0ul, std::tuple<main::{lambda()#1}> >::type&& std::get<0ul, main::{lambda()#1}>(std::tuple<main::{lambda()#1}>&&) [292]
-----------------------------------------------
                0.00    0.92      25/25          std::thread::_State_impl<std::thread::_Invoker<std::tuple<main::{lambda()#1}> > >::_M_run() [15]
[11]    17.2    0.00    0.92      25         std::thread::_Invoker<std::tuple<main::{lambda()#1}> >::operator()() [11]
                0.00    0.92      26/26          void std::thread::_Invoker<std::tuple<main::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>) [10]
-----------------------------------------------
                0.00    0.92      22/22          void std::__invoke_impl<void, main::{lambda()#1}>(std::__invoke_other, main::{lambda()#1}&&) [14]
[12]    17.2    0.00    0.92      22         main::{lambda()#1}::operator()() const [12]
