Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.19      5.33     0.01       22     0.45    29.38  void std::__introsort_loop<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, long, __gnu_cxx::__ops::_Iter_less_iter)
  0.19      5.33     0.01        5     2.00     4.50  filetovector(std::basic_ifstream<char, std::char_traits<char> >&)
  0.09      5.34     0.01  6949767     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.09      5.34     0.01     1442     0.00     0.00  std::thread::swap(std::thread&)
  0.09      5.35     0.01       48     0.10     0.10  std::atomic<bool>::operator=(bool)
  0.09      5.36     0.01       10     0.50     0.50  std::allocator<int>::allocator()
  0.09      5.36     0.01                             void std::__pop_heap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter&)
  0.00      5.36     0.00 18761277     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      5.36     0.00 12520327     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<int, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(int&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      5.36     0.00  6532353     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00      5.36     0.00  2612006     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      5.36     0.00  2222283     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      5.36     0.00  1963205     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.00      5.36     0.00  1963064     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      5.36     0.00  1111123     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.36     0.00  1111105     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      5.36     0.00  1111105     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      5.36     0.00   871571     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      5.36     0.00   869838     0.00     0.00  bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      5.36     0.00   654633     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      5.36     0.00   653530     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      5.36     0.00    23891     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      5.36     0.00    16482     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&)
  0.00      5.36     0.00    14396     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      5.36     0.00     8523     0.00     0.00  void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int)
  0.00      5.36     0.00     6212     0.00     0.00  std::remove_reference<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&>::type&& std::move<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&)
  0.00      5.36     0.00     4588     0.00     0.00  void (*&&std::forward<void (*)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (*)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int)
  0.00      5.36     0.00     4362     0.00     0.00  std::remove_reference<std::thread::id&>::type&& std::move<std::thread::id&>(std::thread::id&)
  0.00      5.36     0.00     3154     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      5.36     0.00     3104     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      5.36     0.00     3089     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      5.36     0.00     2972     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      5.36     0.00     2937     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      5.36     0.00     1881     0.00     0.00  std::_Tuple_impl<2ul, int, int>::_M_head(std::_Tuple_impl<2ul, int, int>&)
  0.00      5.36     0.00     1866     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)
  0.00      5.36     0.00     1811     0.00     0.00  std::_Head_base<2ul, int, false>::_M_head(std::_Head_base<2ul, int, false>&)
  0.00      5.36     0.00     1768     0.00     0.00  std::tuple_element<1ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<1ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&)
  0.00      5.36     0.00     1744     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > >& std::__get_helper<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&)
  0.00      5.36     0.00     1742     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_Head_base()
  0.00      5.36     0.00     1735     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      5.36     0.00     1726     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)
  0.00      5.36     0.00     1723     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      5.36     0.00     1708     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      5.36     0.00     1698     0.00     0.00  int& std::__get_helper<2ul, int, int>(std::_Tuple_impl<2ul, int, int>&)
  0.00      5.36     0.00     1697     0.00     0.00  std::_Head_base<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, false>::_Head_base<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&)
  0.00      5.36     0.00     1694     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > >::get() const
  0.00      5.36     0.00     1694     0.00     0.00  std::_Head_base<1ul, std::default_delete<std::thread::_State>, true>::_Head_base()
  0.00      5.36     0.00     1669     0.00     0.00  std::tuple_element<2ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<2ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&)
  0.00      5.36     0.00     1667     0.00     0.00  std::__uniq_ptr_data<std::thread::_State, std::default_delete<std::thread::_State>, true, true>::__uniq_ptr_impl(std::thread::_State*)
  0.00      5.36     0.00     1665     0.00     0.00  std::_Head_base<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), false>::_Head_base(void (* const&)(std::vector<int, std::allocator<int> >&, int, int))
  0.00      5.36     0.00     1664     0.00     0.00  std::_Tuple_impl<3ul, int>::_M_head(std::_Tuple_impl<3ul, int>&)
  0.00      5.36     0.00     1661     0.00     0.00  std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<true, true>()
  0.00      5.36     0.00     1655     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > >::operator std::vector<int, std::allocator<int> >&() const
  0.00      5.36     0.00     1610     0.00     0.00  void (*&std::__get_helper<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&))(std::vector<int, std::allocator<int> >&, int, int)
  0.00      5.36     0.00     1609     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > >::_S_fun(std::vector<int, std::allocator<int> >&)
  0.00      5.36     0.00     1593     0.00     0.00  std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_M_head(std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&)
  0.00      5.36     0.00     1588     0.00     0.00  std::_Head_base<3ul, int, false>::_M_head(std::_Head_base<3ul, int, false>&)
  0.00      5.36     0.00     1585     0.00     0.00  std::tuple_element<0ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&)
  0.00      5.36     0.00     1582     0.00     0.00  std::vector<int, std::allocator<int> >& std::forward<std::vector<int, std::allocator<int> >&>(std::remove_reference<std::vector<int, std::allocator<int> >&>::type&)
  0.00      5.36     0.00     1558     0.00     0.00  std::_Head_base<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), false>::_M_head(std::_Head_base<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), false>&)
  0.00      5.36     0.00     1556     0.00     0.00  int& std::__get_helper<3ul, int>(std::_Tuple_impl<3ul, int>&)
  0.00      5.36     0.00     1518     0.00     0.00  std::tuple_element<3ul, std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::type&& std::get<3ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&&)
